entry_date,l0gicnz,random767435,xHeaven
2026-03-01 13:07:14,2.97947487094,,
2026-03-01 14:38:07,2.97947487094,,2.6556738084
2026-03-01 16:44:39,2.97947487094,,2.65473694936
2026-03-01 18:42:51,2.97947487094,,2.65298215048
2026-03-01 21:58:07,2.97947487094,,2.65000789826
2026-03-01 22:35:31,2.9217875318,,2.65000789826
2026-03-01 22:36:23,2.9217875318,,2.64428315976
2026-03-02 18:02:38,2.9217875318,,2.6413712634
2026-03-03 09:13:34,2.78926441426,,2.6413712634
2026-03-03 09:28:34,2.7817243627,,2.6413712634
2026-03-03 18:20:37,2.7817243627,,2.57329411912
2026-03-03 18:23:06,2.7817243627,,2.55126028738
2026-03-03 19:14:40,2.7817243627,,2.54031959572
2026-03-03 21:59:55,2.7817243627,,2.53772840494
2026-03-04 22:33:52,2.7817243627,,2.53275419124
2026-03-05 15:12:47,2.7817243627,,2.52144523176
2026-03-05 15:27:47,2.7817243627,,2.52091547676
2026-03-05 15:35:46,2.7817243627,,2.51743810088
2026-03-05 16:23:11,2.7817243627,,2.51553172762
2026-03-05 16:40:44,2.7817243627,,2.51158554026
2026-03-05 16:52:12,2.7817243627,,2.50869641878
2026-03-05 17:24:39,2.7817243627,,2.50623747088
2026-03-06 14:13:16,2.7817243627,,2.486
2026-03-06 14:15:47,2.735,,2.486
2026-03-07 21:25:51,2.504,,2.486
2026-03-07 21:57:37,2.493,,2.486
2026-03-09 07:44:44,2.493,,2.479
2026-03-11 11:22:05,2.493,,2.474
2026-03-11 11:26:55,2.493,,2.465
2026-03-11 11:28:28,2.493,,2.464
2026-03-11 11:31:34,2.493,,2.462
2026-03-11 11:40:10,2.493,,2.46
2026-03-12 09:07:54,2.493,2.542,2.46
2026-03-12 09:48:56,2.48,2.542,2.46
2026-03-12 09:54:52,2.48,2.542,2.459
2026-03-12 23:40:58,2.48,2.449,2.459
2026-03-13 01:46:42,2.48,2.449,2.123
2026-03-13 02:28:53,2.48,2.449,2.088
2026-03-13 02:37:35,2.47,2.449,2.088
2026-03-13 02:48:31,2.47,2.449,2.066
2026-03-13 02:49:28,2.47,2.449,2.061
2026-03-13 03:13:50,2.47,2.449,2.055
2026-03-13 04:24:23,2.469,2.449,2.055
